,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,batch_size,input_steps,output_steps,n_hidden,n_filters,kernel_size,dropout,reg_strength,mse,r2,mae
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4096.0,24.0,12.0,32.0,32.0,1.0,0.4,0.002,276218.94664266374,0.1167530758050867,390.791624741577
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,4096.0,48.0,12.0,32.0,32.0,1.0,0.4,0.002,275321.44795016333,0.1084693937400519,397.6895695801905
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,4096.0,64.0,12.0,32.0,32.0,1.0,0.4,0.002,280333.9721569408,0.1624732466281165,374.941472702978
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,2.0,4096.0,128.0,12.0,32.0,32.0,1.0,0.4,0.002,286629.0113044896,0.0870755348075372,391.7199579076239
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,3.0,4096.0,256.0,12.0,32.0,32.0,1.0,0.4,0.002,284836.36418438,0.1623023174538218,375.5064707821573
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,4.0,4096.0,48.0,12.0,32.0,32.0,1.0,0.4,0.004,283596.53549700906,-0.037045494691521,398.2067107886378
6,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,5.0,4096.0,64.0,12.0,32.0,32.0,1.0,0.4,0.004,280732.95268520486,0.1051429334790059,385.9876227879838
7,7.0,7.0,7.0,7.0,7.0,,,,,,,,,6.0,4096.0,128.0,12.0,32.0,32.0,1.0,0.4,0.004,283747.870218432,0.0476595642565194,389.4010625416402
8,8.0,8.0,8.0,8.0,,,,,,,,,,7.0,4096.0,256.0,12.0,32.0,32.0,1.0,0.4,0.004,291940.2946553312,0.097643124541583,389.22868998488633
9,9.0,9.0,9.0,,,,,,,,,,,8.0,4096.0,48.0,12.0,32.0,32.0,1.0,0.5,0.002,278646.4313180877,0.2182915299622111,372.8855000949288
10,10.0,10.0,,,,,,,,,,,,9.0,4096.0,64.0,12.0,32.0,32.0,1.0,0.5,0.002,286745.2031239872,0.0653711458746907,384.7544833290505
11,11.0,,,,,,,,,,,,,10.0,4096.0,128.0,12.0,32.0,32.0,1.0,0.5,0.002,286772.92171803326,0.1931775229059091,382.69360406294686
12,,,,,,,,,,,,,,11.0,4096.0,256.0,12.0,32.0,32.0,1.0,0.5,0.002,279934.5869606054,0.078508350058974,392.4023158728476
